STACJA;ROK;DATA;NRPOMIARU;TYDZ;NRDNIA;SDRD
2012;2022;01.07.2022;7;26;5;13316
2012;2022;02.07.2022;7;26;6;12060
2012;2022;03.07.2022;7;26;7;13411
2012;2022;04.07.2022;7;27;1;11745
2012;2022;05.07.2022;7;27;2;10335
2012;2022;06.07.2022;7;27;3;10708
2012;2022;07.07.2022;7;27;4;11129
2012;2022;08.07.2022;7;27;5;13885
2012;2022;09.07.2022;7;27;6;12713
2012;2022;10.07.2022;7;27;7;13401
2012;2022;11.07.2022;7;28;1;12535
2012;2022;12.07.2022;7;28;2;11069
2012;2022;13.07.2022;7;28;3;11384
2012;2022;14.07.2022;7;28;4;12075
2012;2022;15.07.2022;7;28;5;15335
2012;2022;16.07.2022;7;28;6;14220
2012;2022;17.07.2022;7;28;7;15948
2012;2022;18.07.2022;7;29;1;13280
2012;2022;19.07.2022;7;29;2;11171
2012;2022;20.07.2022;7;29;3;10975
2012;2022;21.07.2022;7;29;4;11573
2012;2022;22.07.2022;7;29;5;14589
2012;2022;23.07.2022;7;29;6;13834
2012;2022;24.07.2022;7;29;7;16305
2012;2022;25.07.2022;7;30;1;13507
2012;2022;26.07.2022;7;30;2;11239
2012;2022;27.07.2022;7;30;3;11663
2012;2022;28.07.2022;7;30;4;13536
2012;2022;29.07.2022;7;30;5;14913
2012;2022;30.07.2022;7;30;6;14430
2012;2022;31.07.2022;7;30;7;16779
2012;2022;01.08.2022;8;31;1;14433
2012;2022;02.08.2022;8;31;2;11527
2012;2022;03.08.2022;8;31;3;11963
2012;2022;04.08.2022;8;31;4;12717
2012;2022;05.08.2022;8;31;5;15222
2012;2022;06.08.2022;8;31;6;15736
2012;2022;07.08.2022;8;31;7;18177
2012;2022;08.08.2022;8;32;1;13919
2012;2022;09.08.2022;8;32;2;11625
2012;2022;10.08.2022;8;32;3;12427
2012;2022;11.08.2022;8;32;4;13309
2012;2022;12.08.2022;8;32;5;18193
2012;2022;13.08.2022;8;32;6;15767
2012;2022;14.08.2022;8;32;7;16256
2012;2022;15.08.2022;8;33;11;17413
2012;2022;16.08.2022;8;33;2;12710
2012;2022;17.08.2022;8;33;3;12016
2012;2022;18.08.2022;8;33;4;12274
2012;2022;19.08.2022;8;33;5;14619
2012;2022;20.08.2022;8;33;6;12960
2012;2022;21.08.2022;8;33;7;12438
2012;2022;22.08.2022;8;34;1;12067
2012;2022;23.08.2022;8;34;2;10829
2012;2022;24.08.2022;8;34;3;11445
2012;2022;25.08.2022;8;34;4;12142
2012;2022;26.08.2022;8;34;5;15181
2012;2022;27.08.2022;8;34;6;11898
2012;2022;28.08.2022;8;34;7;13130
2012;2022;29.08.2022;8;35;1;12386
2012;2022;30.08.2022;8;35;2;11057
2012;2022;31.08.2022;8;35;3;11295
2012;2022;01.09.2022;9;35;4;10897
2012;2022;02.09.2022;9;35;5;13911
2012;2022;03.09.2022;9;35;6;12126
2012;2022;04.09.2022;9;35;7;14361
2012;2022;05.09.2022;9;36;1;11442
2012;2022;06.09.2022;9;36;2;10313
2012;2022;07.09.2022;9;36;3;10784
2012;2022;08.09.2022;9;36;4;11577
2012;2022;09.09.2022;9;36;5;14117
2012;2022;10.09.2022;9;36;6;10213
2012;2022;11.09.2022;9;36;7;11913
2012;2022;12.09.2022;9;37;1;11038
2012;2022;13.09.2022;9;37;2;10385
2012;2022;14.09.2022;9;37;3;10402
2012;2022;15.09.2022;9;37;4;11227
2012;2022;16.09.2022;9;37;5;14150
2012;2022;17.09.2022;9;37;6;9968
2012;2022;18.09.2022;9;37;7;11008
